awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,type
The Tabelog Award 2024 Gold 受賞店,たきや,麻布十番駅 154m , 天ぷら,,"￥40,000～￥49,999","￥40,000～￥49,999",4.53,-,https://tabelog.com/tokyo/A1307/A130702/13185763/,完全予約制,,都営大江戸線「麻布十番」駅　7番出口　徒歩3分東京メトロ南北線麻「布十番駅」駅　4番出口　徒歩3分 麻布十番駅から154m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.65559283872222,139.73476758414765",03-6804-1732,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,324,tempura
The Tabelog Award 2024 Silver 受賞店,日本橋 蕎ノ字,人形町駅 189m , 天ぷら,江戸前の本場で、静岡の素材を使った風味豊かな天ぷらと、〆に供される手打ち蕎麦の喉ごしに酔う,"￥30,000～￥39,999","￥30,000～￥39,999",4.38,-,https://tabelog.com/tokyo/A1302/A130204/13201969/,予約可,「キャンセルポリシー」3日前から50％、前日から100%のキャンセル料がかかります。蕎麦アレルギーの方、強い香水はご遠慮下さい。食オクでも予約可能でございます。shokuoku.com/restaurant/?rstid=29,東京メトロ日比谷線【人形町駅】徒歩３分都営地下鉄浅草線【人形町駅】徒歩４分東京メトロ半蔵門線【水天宮前駅】徒歩５分都営地下鉄新宿線【浜町駅】徒歩６分 人形町駅から189m,12:00 - 14:00,※不定休あり※おまかせコースのみ。一斉スタートとなります。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.68623363871861,139.78453888442226",03-5643-1566,東京都中央区日本橋人形町2-22-11 井上ビル 1F,404,tempura
The Tabelog Award 2024 Silver 受賞店,くすのき 本店,四ツ谷駅 224m , 天ぷら,,"￥100,000～","￥100,000～",4.37,-,https://tabelog.com/tokyo/A1309/A130902/13223239/,完全予約制,会員制,四谷駅より徒歩３分 四ツ谷駅から224m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.685997638957026,139.72806755050678",非公開,東京都新宿区四谷1-9-4 ,302,tempura
The Tabelog Award 2024 Silver 受賞店,銀座 きた川,銀座一丁目駅 254m , 日本料理、天ぷら,「銀座 しのはら」の粋と技を継承する日本料理店。,"￥30,000～￥39,999","￥30,000～￥39,999",4.36,-,https://tabelog.com/tokyo/A1301/A130101/13275790/,完全予約制,,東京メトロ銀座一丁目駅徒歩2分東京メトロ銀座駅徒歩3分 銀座一丁目駅から254m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.67212863872239,139.76826878429122",03-6264-2872,東京都中央区銀座2-10-11 マロニエ通り銀座館 3F,277,tempura
The Tabelog Award 2024 Bronze 受賞店,てんぷら 深町,京橋駅 44m , 天ぷら,料理一筋50年の料理長が揚げる珠玉のてんぷら。これからも受け継がれる、江戸前伝統の味と技。,"￥20,000～￥29,999","￥20,000～￥29,999",4.26,-,https://tabelog.com/tokyo/A1302/A130202/13004105/,予約可,※昼、夜共にコース料理のみご予約の際はお電話、又はオートリザーブ（予約サイト）でお受け致しております。,東京メトロ銀座線 京橋駅 徒歩1分 京橋駅から44m,,,カード可 電子マネー不可 QRコード決済不可,"35.67647412092464,139.77049557645483",03-5250-8777,東京都中央区京橋2-5-2 A・M京橋ビル 1F,886,tempura
The Tabelog Award 2024 Bronze 受賞店,みかわ 是山居,門前仲町駅 462m , 天ぷら,芸術に浸かり味わう江戸前の粋と、その口福。生きる伝説が追求した至高の天ぷらがここに。,"￥20,000～￥29,999","￥20,000～￥29,999",4.24,-,https://tabelog.com/tokyo/A1313/A131303/13090866/,完全予約制,,東西線　大江戸線・門前仲町駅歩いて８分。 門前仲町駅から462m,,,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67545563872817,139.79307068430742",03-3643-8383,東京都江東区福住1-3-1 ,671,tempura
食べログ 天ぷら 百名店 2023 選出店,天ぷら浅沼,日本橋駅 133m , 天ぷら,食材と衣が織りなす調和。若き天ぷら職人が紡ぎ出す“衣を味わう天ぷら”の世界,"￥15,000～￥19,999","￥15,000～￥19,999",4.08,水曜日,https://tabelog.com/tokyo/A1302/A130202/13275655/,予約可,※現在お電話、ネットでのご予約を受け付けておりません。御用の方は留守番電話、又は当店のインスタグラムへメッセージをお願い致します。ご迷惑をおかけします。,東京メトロ銀座線・東西線　日本橋駅都営地下鉄浅草線　日本橋駅徒歩1分　日本橋駅から133m 日本橋駅から133m,12:00 - 15:00,■ 定休日不定休,カード可 電子マネー不可 QRコード決済不可,"35.68099043871877,139.77460498437625",03-4400-5977,東京都中央区日本橋2-10-11 ordin日本橋ビル 6F,283,tempura
食べログ 天ぷら 百名店 2023 選出店,てんぷら 近藤,銀座駅 119m , 天ぷら,東京における天ぷらの最高峰。職人歴50年を経てなお進化を続ける技に酔いしれる,"￥20,000～￥29,999","￥20,000～￥29,999",4.06,日曜日,https://tabelog.com/tokyo/A1301/A130101/13004993/,予約可,,東京メトロ　銀座駅　徒歩３分（B5出口） 銀座駅から119m,12:00 - 15:00L.O. 13:30,■ 営業時間12:00～の回と13:30～の回の2部制■ 定休日日曜（月曜が祝日の場合休）,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.67116923872138,139.76317848428508",03-5568-0923,東京都中央区銀座5-5-13 坂口ビル　9Ｆ,913,tempura
食べログ 天ぷら 百名店 2023 選出店,江戸前晋作,人形町駅 152m , 天ぷら,,"￥20,000～￥29,999","￥20,000～￥29,999",4.02,日曜日,https://tabelog.com/tokyo/A1302/A130204/13270572/,予約可,完全予約制（ご予約は【OMAKASE】からネット予約）当月を含む３ヶ月分のみの受付となります。次回の予約受付は月初の１日にご予約の受付を開始致します。,日比谷線、都営浅草線人形町駅より徒歩約２分。半蔵門線水天宮前駅より徒歩約３分。 人形町駅から152m,,,カード可 （AMEX） 電子マネー不可 QRコード決済不可,"35.68562783871883,139.7840302844165",03-5615-8728,東京都中央区日本橋人形町2-10-11 KYOE PLAZA 日本橋人形町 6F,218,tempura
食べログ 天ぷら 百名店 2023 選出店,てんぷら 下村,新御徒町駅 417m , 天ぷら,,"￥10,000～￥14,999","￥10,000～￥14,999",3.84,水曜日、日曜日、祝日,https://tabelog.com/tokyo/A1311/A131101/13213663/,予約可,,つくばエクスプレス・都営大江戸線　　　新御徒町駅A4出口　徒歩５分 新御徒町駅から417m,12:00 - 13:30,■ 営業時間[月～火・木～土］最終入店19：30,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,"35.70420733870745,139.78534668460324",03-5809-2866,東京都台東区三筋1-11-13 ,230,tempura
